,City,Latitude,Longitude,Max Tempurature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country
1,marsa matruh,31.35,27.25,82.39999999999992,58.0,0,5.1,EG
3,mataura,-46.19,168.86,42.00799999999998,94.0,84,0.95,NZ
5,lamu,-2.27,40.9,75.88399999999984,74.0,82,7.95,KE
7,vostok,46.49,135.88,55.45400000000001,100.0,2,2.5,RU
9,lagos,6.58,3.75,82.39999999999992,74.0,75,4.6,NG
11,lagoa,39.05,-27.98,73.72399999999999,87.0,6,9.8,PT
13,vaini,-21.2,-175.2,67.99999999999994,77.0,40,3.6,TO
15,maldonado,-34.67,-54.92,53.995999999999924,62.0,5,6.2,UY
19,digha,21.68,87.55,82.95799999999991,83.0,54,9.15,IN
21,airai,-8.93,125.41,57.99200000000002,78.0,3,1.25,TL
23,georgetown,5.41,100.34,82.39999999999992,83.0,20,1.5,MY
25,mungwi,-10.17,31.37,66.97399999999999,34.0,15,1.7,ZM
27,kavieng,-2.57,150.8,81.19400000000002,77.0,97,1.11,PG
29,kodinar,20.79,70.7,81.03199999999998,85.0,99,8.58,IN
31,chuy,-33.7,-53.46,61.664000000000044,60.0,4,6.26,UY
33,srednekolymsk,67.45,153.68,43.448000000000036,68.0,95,3.83,RU
35,kapaa,22.08,-159.32,75.19999999999999,94.0,75,3.6,US
37,thompson,55.74,-97.86,66.19999999999999,59.0,40,4.6,CA
39,tuktoyaktuk,69.45,-133.04,46.39999999999998,87.0,90,4.1,CA
41,kodiak,57.79,-152.41,62.599999999999966,51.0,1,6.2,US
43,zarubino,42.63,131.09,72.12200000000001,72.0,98,3.63,RU
45,atuona,-9.8,-139.03,77.5399999999999,77.0,27,8.32,PF
47,abalak,58.13,68.59,52.5739999999999,82.0,96,3.02,RU
49,piacabucu,-10.41,-36.43,79.12399999999997,74.0,24,5.17,BR
51,villamontes,-21.25,-63.5,82.52600000000012,19.0,0,4.35,BO
55,garissa,-0.45,39.64,77.82800000000003,48.0,92,11.72,KE
57,axim,4.87,-2.24,77.88199999999989,80.0,84,5.69,GH
59,covington,39.08,-84.51,84.99200000000002,61.0,40,3.69,US
63,watertown,42.37,-71.18,69.99799999999999,73.0,90,6.2,US
65,bardiyah,31.76,25.09,78.81800000000004,70.0,0,6.11,LY
67,mahajanga,-15.72,46.32,76.118,65.0,13,2.62,MG
71,henties bay,-22.12,14.28,60.00799999999998,78.0,5,3.13,NA
75,muncar,-8.43,114.33,76.47800000000001,91.0,85,1.93,ID
77,fortuna,40.6,-124.16,80.99599999999992,50.0,0,0.89,US
79,bhongir,17.51,78.89,71.99599999999992,100.0,90,3.1,IN
83,maralal,1.1,36.7,64.38199999999989,80.0,95,1.28,KE
85,sosnovo-ozerskoye,52.52,111.54,51.04400000000004,96.0,17,3.28,RU
87,kpandu,7,0.29,77.52199999999999,81.0,81,2.21,GH
89,paamiut,61.99,-49.67,44.58199999999994,73.0,2,11.12,GL
91,ulaangom,49.98,92.07,65.28199999999998,58.0,100,1.76,MN
93,pevek,69.7,170.31,38.714,85.0,31,3.34,RU
95,port alfred,-33.59,26.89,54.84199999999993,70.0,96,12.24,ZA
97,bilibino,68.05,166.44,35.85200000000003,85.0,39,0.53,RU
99,faanui,-16.48,-151.75,78.45799999999991,76.0,67,6.45,PF
101,aswan,24.09,32.91,95.666,18.0,7,1.67,EG
103,butaritari,3.07,172.79,81.69800000000004,77.0,71,6.26,KI
106,konevo,62.12,39.32,55.59800000000001,90.0,99,1.99,RU
107,nara,34.69,135.8,87.00799999999998,36.0,0,0.65,JP
108,gornopravdinsk,60.05,69.9,47.011999999999944,88.0,98,2.03,RU
109,beloha,-25.17,45.05,66.32600000000008,77.0,0,0.61,MG
110,provideniya,64.38,-173.3,49.82000000000005,76.0,24,3.14,RU
111,khatanga,71.97,102.5,51.74599999999998,62.0,0,2.77,RU
112,klyuchi,52.27,79.17,58.87399999999997,71.0,2,2.52,RU
113,tuatapere,-46.13,167.68,42.00799999999998,94.0,36,2.05,NZ
114,ponta do sol,32.67,-17.1,73.99399999999997,82.0,50,2.24,PT
